Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-1070.553	-1680.35	609.7967	1.450685	0.4738678	0.659384	0.340616	1.161887
6	-1067.76	-1676.745	608.9855	1.42808	1.036398	0.686579	0.313421	1.26462
12	-1062.711	-1672.003	609.2921	1.489392	0.7786846	0.583055	0.416945	1.188882
18	-1062.347	-1671.018	608.6714	1.389472	1.269317	0.780129	0.219871	1.379683
24	-1062.326	-1671.249	608.9223	1.232339	0.7060974	0.725372	0.274628	1.737268
30	-1069.51	-1677.935	608.425	1.063424	0.9188348	0.663251	0.336749	2.021585
36	-1058.883	-1666.682	607.7995	1.034291	0.9899017	0.489982	0.510018	2.397331
42	-1077.634	-1685.834	608.2009	1.390631	1.158578	0.639423	0.360577	1.793276
48	-1063.029	-1671.694	608.6649	1.219694	0.8643355	0.556323	0.443677	1.793276
54	-1068.764	-1677.104	608.3407	1.34635	1.171762	0.722377	0.277623	1.718331
60	-1067.423	-1676.014	608.5915	1.113904	0.991116	0.713505	0.286495	1.824372
66	-1069.127	-1677.824	608.6972	1.285545	0.7471523	0.655479	0.344521	1.820636
72	-1058.278	-1666.27	607.9918	1.200502	1.359469	0.702267	0.297733	1.950387
78	-1054.334	-1662.903	608.5684	1.160544	1.057141	0.659277	0.340723	1.763033
84	-1070.35	-1678.877	608.5266	1.221136	0.7888766	0.68081	0.31919	1.946085
90	-1058.005	-1665.912	607.9064	1.330939	1.392296	0.68081	0.31919	1.902613
96	-1065.445	-1673.781	608.3362	1.235682	1.14753	0.697795	0.302205	1.813715
102	-1072.269	-1681.224	608.9548	1.04897	0.807329	0.736748	0.263252	1.755666
108	-1065.844	-1674.069	608.225	1.032876	0.9168483	0.806217	0.193783	2.174329
114	-1053.847	-1662.651	608.804	1.032876	0.7194425	0.761524	0.238476	1.943679
120	-1071.551	-1680.317	608.7659	1.077109	0.4038604	0.762062	0.237938	2.260127
126	-1096.299	-1705.246	608.947	1.214256	0.7848944	0.60522	0.39478	1.663143
132	-1078.101	-1687.034	608.9328	1.19946	0.8813964	0.560542	0.439458	1.604317
138	-1055.502	-1664.072	608.5702	1.319752	0.8372083	0.563632	0.436368	1.810731
144	-1050.919	-1659.348	608.4294	1.380684	1.350868	0.731377	0.268623	1.520412
150	-1057.541	-1666.381	608.8404	1.337276	0.8928792	0.605631	0.394369	1.56198
156	-1073.035	-1681.391	608.3563	1.150367	1.010322	0.799579	0.200421	1.946517
162	-1096.939	-1705.206	608.2666	1.198694	1.052683	0.697065	0.302935	1.946517
168	-1064.609	-1673.148	608.5389	1.200545	1.035741	0.697065	0.302935	1.770142
174	-1058.264	-1666.586	608.3224	1.154101	1.203126	0.737792	0.262208	1.845495
180	-1062.816	-1670.962	608.1459	1.011252	0.6924986	0.609386	0.390614	2.408087
186	-1067.89	-1675.938	608.0483	0.8142314	0.6282911	0.732425	0.267575	2.646139
192	-1074.918	-1681.876	606.9583	0.862533	0.8540997	0.525754	0.474246	3.105456
198	-1082.751	-1690.038	607.2872	0.9876393	1.11369	0.613879	0.386121	2.671271
204	-1066.939	-1675.272	608.3326	1.011586	0.8315524	0.736017	0.263983	2.179552
210	-1061.951	-1670.57	608.6191	1.041069	0.4829341	0.722045	0.277955	2.286169
216	-1076.697	-1684.798	608.1018	1.041069	0.8127313	0.577609	0.422391	2.32294
222	-1067.704	-1675.302	607.5983	0.9345163	0.8306664	0.619681	0.380319	2.691191
228	-1069.499	-1677.665	608.1659	0.9789225	0.8306664	0.624388	0.375612	2.308483
234	-1079.792	-1688.793	609.0011	1.09009	0.7171766	0.624388	0.375612	1.771623
240	-1060.643	-1669.943	609.3001	1.307304	0.7171766	0.624388	0.375612	1.393518
246	-1080.126	-1688.526	608.3997	1.259665	1.035253	0.690958	0.309042	1.825932
252	-1055.735	-1663.802	608.0676	1.314127	1.351326	0.690958	0.309042	1.825932
258	-1060.759	-1669.727	608.9681	1.244818	0.5725896	0.627575	0.372425	1.825932
264	-1072.09	-1680.547	608.457	1.018509	0.685535	0.76516	0.23484	2.210754
270	-1068.917	-1677.25	608.3325	1.061331	0.7494604	0.596337	0.403663	2.210754
276	-1080.663	-1689.102	608.4392	1.203488	0.696681	0.796939	0.203061	2.092292
282	-1073.932	-1682.45	608.5177	1.26076	0.7652958	0.687465	0.312535	1.944525
288	-1069.61	-1678.557	608.9469	1.379376	0.8916622	0.750537	0.249463	1.451719
294	-1101.926	-1710.142	608.2156	1.02912	1.000019	0.739209	0.260791	2.126978
300	-1088.09	-1696.157	608.0671	0.8837115	0.6323438	0.669769	0.330231	2.588069
306	-1097.502	-1704.686	607.1839	0.8582414	0.8206755	0.7529	0.2471	2.995925
312	-1087.648	-1695.843	608.1948	0.8917075	0.8206755	0.748581	0.251419	2.352919
318	-1057.955	-1666.499	608.5442	1.127939	0.6363113	0.808234	0.191766	2.126394
324	-1079.909	-1688.172	608.2626	1.169404	1.103532	0.789974	0.210026	1.936548
330	-1083.08	-1691.4	608.32	1.232314	1.172058	0.681811	0.318189	1.812097
336	-1065.846	-1673.978	608.1317	1.056289	1.055976	0.791822	0.208178	2.128232
342	-1074.943	-1682.927	607.984	1.044092	0.8027399	0.670227	0.329773	2.40315
348	-1083.085	-1691.107	608.0218	0.8878185	0.9659773	0.693963	0.306037	2.364757
354	-1069.878	-1678.285	608.4071	1.045213	0.7777317	0.741871	0.258129	2.150355
360	-1075.806	-1682.921	607.1145	1.018718	1.182106	0.616385	0.383615	2.72036
366	-1066.478	-1674.798	608.3203	1.144798	0.7418756	0.766577	0.233423	2.170685
372	-1082.214	-1689.62	607.4059	1.003573	1.21299	0.766577	0.233423	2.533057
